feature_id,screen,subtab,mode,displayed_fields,action,code_path,symbol,classification,approval_basis,test_ids,status,notes
NAV-01,MainNavigation,,both,(D-06) 5 destinations 대시보드/신고내역/신고관리/통계/알림 — 이전 7개,tap destination -> setState index + _refreshOnTab(index),lib/main.dart:1007,NavigationBar.onDestinationSelected,existing,code,,code-verified,파일·동기화/크롤링은 AppRoutes 로 이동(lib/navigation/app_routes.dart). IndexedStack 5개
NAV-02,MainNavigation,,both,"(D-06) 하단 7번째 탭 삭제 → 대시보드 앱바 SyncActionButton(진행 중 회전) + SyncStatusCard, 라벨 동기화/크롤링 모드별",none (display),lib/widgets/sync_status_card.dart,SyncActionButton/SyncStatusCard,approved-enhancement,D-06 사용자 결정 2026-09-24,,implemented,rotation controller main.dart:982
NAV-03,MainNavigation,,both,Badge with unread count on 알림 icon (NotificationHistoryProvider.unreadCount),none (display),lib/main.dart:1034,Badge isLabelVisible unread>0,existing,code,,code-verified,
NAV-04,MainNavigation,,both,n/a,_refreshOnTab: 0 fetchSummary; 1 fetch traffic/parking/other/duplicate/watchlist; 2 fetchWatchlistNumbers; 3 bumpStatsRefresh; 4 history.load; 5 bumpFilesRefresh; 6 none,lib/main.dart:366,_refreshOnTab,existing,code,,code-verified,_refreshOnTab 0~4 만(파일 탭 bumpFilesRefresh 제거 — 파일 화면은 열 때 로드)
NAV-05,MainNavigation,,both,n/a,_checkPendingChanges on init/resume/pendingChangesNonce -> PendingChangesStore.readAndClear -> drop read -> addFromServerResults -> go tab 4 subtab 1 -> _showChangesBottomSheet,lib/main.dart:465,_checkPendingChanges,existing,code,test/services/pending_changes_store_test.dart,code-verified,SharedPreferences key pending_crawl_changes; standalone triggers via pendingChangesNonce main.dart:989
NAV-06,MainNavigation (changes sheet),,both,header '변경 결과 N건'; badges 신규/처리변경/개별 확인/중복 변경; report card: type badge/신고명/status chip/fine chip/신고번호/처리기관/범칙금_과태료,draggable sheet (0.35-0.92),lib/main.dart:492,_showChangesBottomSheet,existing,code,,code-verified,status=serverStatusColor fine=serverFineColor (main.dart:744/751)
NAV-07,MainNavigation (changes sheet),,both,report card,tap -> pop + showReportDetailSheet(Report.fromJson),lib/main.dart:756,InkWell.onTap,existing,code,,code-verified,
NAV-08,MainNavigation (changes sheet),,both,duplicate card: 중복 변경 badge/title/status_label/body/대표 신고번호/멤버 수,tap -> pop + showDuplicateGroupDetailSheet,lib/main.dart:597,InkWell.onTap,existing,code,,code-verified,
NAV-09,MainNavigation,,both,n/a,native navigateToTab(tab default 4; sub_tab -> setPreferredTabIndex; payload_json -> open detail; event_type),lib/main.dart:316,_handleNativeCall,existing,code,,code-verified,"tab 5 → AppRoutes.openFiles, tab 6 → AppRoutes.openCrawl (Kotlin nav_tab=6 그대로), 0~4 는 탭 전환"
NAV-10,MainNavigation,,both,n/a,event_type quick_sync/quick_crawl -> CrawlScreenState.handleQuickAction (5 retries x200ms); standalone_sync -> checkAutoSyncOnResume,lib/main.dart:345,_handleNavigationEvent,existing,code,,code-verified,quick_sync/quick_crawl → AppRoutes.runQuickAction: 동기화/크롤링 화면을 연 뒤 GlobalKey 로 handleQuickAction 전달(로딩 중이면 CrawlScreen 이 대기열 처리)
NAV-11,MainNavigation,,both,n/a,payload detail: markPayloadRead; notification_kind=duplicate -> duplicate sheet else report sheet,lib/main.dart:451,_openNotificationPayloadDetail,existing,code,,code-verified,
NAV-12,MainNavigation,,both,SnackBar title(bold)+body 4s,resume -> ForegroundEventStore.readAndClear; skip if already read; action '상세 보기'(payload) or '알림 보기' -> tab 4 (+ detail),lib/main.dart:400,_checkForegroundEvent,existing,code,test/services/pending_changes_store_test.dart,code-verified,
NAV-13,MainNavigation,,standalone,n/a,app resume -> ReportProvider.checkAutoSyncOnResume (no-op for client; demo -> refreshAll only),lib/main.dart:311,didChangeAppLifecycleState,existing,code,,code-verified,provider lib/providers/report_provider.dart:758
NAV-14,MainNavigation,,both,n/a,mode/configured/demo signature change -> invokeMethod refreshQuickActions (Android launcher shortcuts),lib/main.dart:1062,_refreshNativeQuickActionsIfNeeded,existing,code,,code-verified,
THEME-01,App,,both,"(2026-09-24 변경) 두 모드 공통 primary: light #0B5ED7 / dark #60A5FA. 이전: client #1A73E8, standalone #1B873B",none,lib/theme/app_theme.dart,AppTheme.build,existing,code,,code-verified,D-03: 모드 구분은 MODE-01 ModeBadge 로 이관. 테마 저장/복원(THEME-02) 무변경
THEME-02,App,,both,themeMode from provider.themeMode (system/light/dark); 토큰 lib/theme/sr_colors.dart (light / dark slate #0B1220),none,lib/main.dart:79,MaterialApp.themeMode,existing,code,,code-verified,D-01 슬레이트. enum lib/models/app_theme_mode.dart 무변경
THEME-03,App,,both,spinner / SetupScreen / MainNavigationScreen,routing gate on isInitialized/isConfigured,lib/main.dart:80,home Builder,existing,code,,code-verified,
DASH-01,Dashboard,,both,AppBar '대시보드',settings icon -> push SettingsScreen,lib/screens/dashboard_screen.dart:45,IconButton,existing,code,,code-verified,
DASH-02,Dashboard,,both,n/a,pull-to-refresh -> refreshSummaryAndRecentAnswers; init fetchSummary + ensureCategoryReportsLoaded,lib/screens/dashboard_screen.dart:56,RefreshIndicator,existing,code,,code-verified,init at :28
DASH-03,Dashboard,,both,error: standalone storage icon '데이터를 불러올 수 없습니다' vs client cloud_off '서버에 연결할 수 없습니다'; error text box,'다시 시도' -> fetchSummary; '설정 확인' -> SettingsScreen,lib/screens/dashboard_screen.dart:67,_buildErrorState,existing,code,,code-verified,mode-specific copy
DASH-04,Dashboard,,both,7 stat cards 전체/보완 요청/처리 중/수용/일부수용/불수용·기타/취하 with count + chevron,tap (count>0) -> FilteredListScreen(category all; status predicate),lib/screens/dashboard_screen.dart:181,_buildSummaryGrid/_buildStatCard,existing,code,,code-verified,StatusTone 틴트 카드(글자 AA). 카드 7개·탭 동작 동일
DASH-05,Dashboard,,both,보완 요청 card: stats.supplementCount in serverSupplementColor,tap -> FilteredListScreen filter status=='보완요청',lib/screens/dashboard_screen.dart:197,_buildStatCard,existing,code,,code-verified,
DASH-06,Dashboard,,both,'교통위반 처리 현황' 과태료/경고·범칙금/불수용/미확인 (only if trafficTotal>0),tap mini stat -> FilteredListScreen(category traffic),lib/screens/dashboard_screen.dart:323,_buildTrafficCard/_miniStat,existing,code,,code-verified,'미확인' 정의가 통계표와 다름 (statistics-spec S-04)
DASH-07,Dashboard,,both,'처리 현황' donut (fl_chart PieChart) 수용/일부수용/불수용/보완요청/처리중/취하 % + legend + '총 N건',none (no tap),lib/screens/dashboard_screen.dart:430,_buildChartCard,existing,code,,code-verified,"조각 안 흰 % 제거(대비 미달) → 범례에 건수+비율, 도넛 중앙에 총 N건"
