asset_id,original_path,sha256,kind,platform,theme,approved_usage,forbidden_inference,runtime_export_path,export_status,notes
REF-01,docs/design/reference/LOGO.png (원본: ~/다운로드/android-newui/LOGO.png),30300816d751c57ae592d755eda80ca5441da1ae67ad1d20526e16f888335119,candidate-asset,shared,dark,로고 후보(방패+콘),"현행 앱 아이콘(카메라+도로)·favicon.png(카메라+말풍선)과 다른 심볼 → 브랜드 변경 미승인. 상단 행 ""나만의"" 글자가 배경과 같은 색이라 보이지 않음. 글로우가 알파에 섞여 있음",,not-exported,"1536x1024 RGBA, 1273KB; alpha: 투명 73%, 반투명 27%; 결정 필요 항목"
REF-02,docs/design/reference/UI COMPONENT KIT.png (원본: ~/다운로드/android-newui/UI COMPONENT KIT.png),adfa0a61e1d0193bfc7207758a13975201e52d786ad77f252da7fab49305440d,visual-reference,shared,shared,탭·세그먼트·버튼·칩·배지·카드·바텀시트·모달 스타일 참고,"사이드 내비·데이터 테이블·페이지네이션은 PC 전용. 바텀시트의 ""선택 삭제""(신고 삭제)는 미구현/금지 기능",,not-exported,"1448x1086 RGB, 1601KB; alpha 없음(RGB); 컴포넌트는 Flutter 위젯으로 구현, 이미지 사용 금지"
REF-03,docs/design/reference/badge.png (원본: ~/다운로드/android-newui/badge.png),be422b24c50ee770bf14dc6f86d649c86d5f007315bf5ee2c8318457106dc681,visual-reference,shared,shared,"상태 배지 형태(아이콘+라벨 pill, filled/outlined) 참고",배지 색은 현행 server_palette 와 다름 → 색 결정 필요. 알파 배경이지만 AI 생성 가장자리 잡티 있음,,not-exported,"1448x1086 RGBA, 1177KB; alpha: 투명 50%, 반투명 49%; 코드로 구현 대상. 이미지 잘라 쓰기 금지"
REF-04,docs/design/reference/board.png (원본: ~/다운로드/android-newui/board.png),8454233028a9e05899bf4fc6f1cc65a149f4683c8e235d7eb31644e67dd3d06d,visual-reference,shared,shared,빈 상태/로딩/동기화/오류/세션 만료/권한 오류 상태 화면 구성 참고,"""파일 업로드"" 버튼(일반 업로드), ""크롤링 진행 중 - 대상 사이트 접속"" 단계 표시는 현행 근거 없음",,not-exported,"1448x1086 RGB, 1486KB; alpha 없음(RGB); 상태 문구는 현행 코드 문구와 대조 후 결정"
REF-05,docs/design/reference/dark banner.png (원본: ~/다운로드/android-newui/dark banner.png),7e2a6ab752ec35c9e38e3981ebe4c23490bdecf0ea37c658b5e11c93da5d3aae,candidate-asset,mobile,dark,대시보드 상단 배너 배경 후보,"이미지 안에 한글 문구와 로고가 구워져 있어 글자 크기 조절·접근성 불가. 1672x941 RGB, 1.9MB",,not-exported,"1672x941 RGB, 1892KB; alpha 없음(RGB); 문구 없는 배경만 재생성하거나 문구를 Flutter Text 로 올려야 사용 가능"
REF-06,docs/design/reference/data분석일러스트.png (원본: ~/다운로드/android-newui/data분석일러스트.png),60f868e42aef18167ee4ed61707c2d5077d685727490d9449f669dd5be708e3f,candidate-asset,shared,shared,통계 빈 상태 일러스트 후보,AI 생성 알파 가장자리 검증 필요. 지도 아이콘 포함(지도 기능 변경 암시 아님),,not-exported,"1254x1254 RGBA, 932KB; alpha: 투명 56%, 반투명 44%; 축소·WebP 변환 필요"
REF-07,docs/design/reference/design tokens.png (원본: ~/다운로드/android-newui/design tokens.png),2667da8c43a2d31db99a83b8b544e87ff91e1770ef55e0fbb4a55398ecd4e814,visual-reference,shared,shared,"색 토큰(배경/서피스/텍스트/보더, brand/semantic)·간격 8px·radius·그림자 참고",폰트 Noto Sans KR 표기는 guide.png 의 Pretendard 와 충돌. 상태색 hex 는 현행 서버 팔레트와 다름,,not-exported,"1448x1086 RGB, 1396KB; alpha 없음(RGB); Web+Mobile 공통 토큰 보드"
REF-08,docs/design/reference/favicon.png (원본: ~/다운로드/android-newui/favicon.png),53e429e5db3784b295393c8e7e0ea74e22b17196cbea125ea6791431795a039c,candidate-asset,shared,shared,앱 아이콘 후보(카메라+느낌표 말풍선),적용 시 launcher icon 교체 = 브랜드 변경 → 별도 승인. 현재 아이콘(mipmap ic_launcher)과 다름,,not-exported,"1254x1254 RGBA, 1133KB; alpha: 투명 37%, 반투명 63%; 적응형 아이콘용 전경/배경 분리 필요"
REF-09,docs/design/reference/guide.png (원본: ~/다운로드/android-newui/guide.png),2d965da90c8b5b559a455dd4e688690d815ddbe3b8e3094fa5b075b8b1fccca7,visual-reference,shared,shared,차트 스타일(라인/막대/도넛/가로막대) 참고,"월별 추이에 중복차량을 네 번째 카테고리로 합산, ""과태료 월별 부과"" 날짜 근거 없음, 전월 대비 증감률, 지도 기반 행정구역 통계는 현행 근거 없음. 폰트 Pretendard 표기",,not-exported,"1448x1086 RGB, 1612KB; alpha 없음(RGB); 통계 개선 참고. 수치/집계 규칙은 statistics-spec 이 정본"
REF-10,docs/design/reference/icons.png (원본: ~/다운로드/android-newui/icons.png),abdedb695786bd1a515e8b7cfa31c2202ebef21324293dd5277d5ebe4de4c4e9,candidate-asset,shared,light,하단 탭/기능 아이콘 형태 참고,"래스터(벡터 아님), 16개가 한 시트에 결합. 24dp 이하 축소 시 굵은 외곽선 뭉개짐 예상",,not-exported,"1448x1086 RGBA, 490KB; alpha: 투명 78%, 반투명 22%; 실사용은 Material Icons 또는 벡터 재작성 권장"
REF-11,docs/design/reference/mobile dark.png (원본: ~/다운로드/android-newui/mobile dark.png),2da6dab08f535c682f0bdc14cccfbe136939df707278ea3e603488c6630643ac,visual-reference,mobile,dark,정본 시각 기준(다크): 색·깊이감·카드/칩/탭 밀도. 하단 7탭 구성은 현행과 일치,"시안 속 숫자(3,037 등)·증감률·""알림/크롤링"" 상단 분리·""시스템 공지""·""지금 동기화하기""의 동기화/크롤링 혼합은 기능 근거 아님",,not-exported,"1672x941 RGB, 1911KB; alpha 없음(RGB); 5개 화면 목업. 알림 화면 상단 [알림|크롤링] 분리와 시스템 공지는 미구현 기능"
REF-12,docs/design/reference/mobile white.png (원본: ~/다운로드/android-newui/mobile white.png),1deb4034fac73dd964286b6b70c7b6d3575d36976d9f469c6bf1ed37889f8bf2,visual-reference,mobile,light,정본 시각 기준(화이트 대응안),하단 탭 5개(파일·동기화 누락)는 현행 7개와 충돌 → 모바일 내비 정본 아님. 신고관리 좌상단 뒤로가기 화살표는 현행 탭 구조와 불일치,,not-exported,"1672x941 RGB, 1696KB; alpha 없음(RGB); 다크 목업과 같은 화면의 라이트 버전"
REF-13,docs/design/reference/sync.png (원본: ~/다운로드/android-newui/sync.png),5a6540921cb7478d4790a0cd117d6ffd635aaefef529b9f958983ef051e30cdc,candidate-asset,shared,shared,동기화 화면/빈 상태 일러스트 후보,"AI 생성 알파(반투명 글로우/잡티). 1254px 원본 1.0MB → 모바일용 축소·WebP 변환 필요. ""SYNC"" 영문 글자 포함",,not-exported,"1254x1254 RGBA, 998KB; alpha: 투명 60%, 반투명 39%; 작은 크기 가독성·다크 배경 대비 검증 필요"
REF-14,docs/design/reference/white banner.png (원본: ~/다운로드/android-newui/white banner.png),cdad54f2d5373ecb13ae5f59f8270f6decfda8f09b9e7474b246cd31088a46bc,candidate-asset,mobile,light,대시보드 상단 배너 배경 후보(라이트),dark banner 와 같은 제약(문구 구워짐),,not-exported,"1672x941 RGB, 1503KB; alpha 없음(RGB); 같은 조건"
BRAND-01,assets/branding/app_icon.png (원본: 서버 docs/design/reference/14-app-icon-source.png = 사용자 제공 favicon(1).png),3844226e26ae66dd2fc962336d416b6702ed44ded843a91ae247a38132d05b2e,app-icon,shared,shared,앱 아이콘 원본(카메라+느낌표 말풍선+도로). 서버 웹 favicon·앱 아이콘과 같은 원본,기능 의미 없음,flutter_launcher_icons → android mipmap·ios·web·windows·macos 아이콘,exported,2026-09-24 사용자 결정(서버와 맞춤). 투명 여백 잘라 1024px
BRAND-02,assets/branding/app_icon_adaptive_fg.png (BRAND-01 에서 생성),ff12e3f0c2c875f3607e40dfc98a8ef26e917b5c1c45fcd2e86321baabcef153,app-icon-adaptive,android,shared,Android 8+ 적응형 아이콘 전경(108dp 중 72dp 안전 영역) + 배경색 #0035B9,,mipmap-anydpi-v26/ic_launcher.xml + drawable-*/ic_launcher_foreground.png,exported,모서리를 대각 그라데이션으로 채워 원형·둥근사각 마스크 모두 확인
BRAND-03,assets/branding/logo_lockup_light.png / logo_lockup_dark.png (서버 web/static/brand/ · 서버 커밋 f442759),d5d6b2574b3125ae8e96b457b1b1b394f2a054c5a581218b4ed1cc6925cce034,logo-lockup,shared,light+dark,첫 연결 화면(SetupScreen) 로고. 서버 웹 사이드바·로그인과 같은 이미지,,pubspec assets,exported,방패 심볼+글자(LOGO 시안). 앱 아이콘(카메라)과 심볼이 다른 것은 서버와 같은 선택
BRAND-04,android/app/src/main/res/drawable/ic_stat_logo.xml,,status-bar-icon,android,shared,알림 표시줄 아이콘(흰 카메라 실루엣 벡터),,drawable/ic_stat_logo.xml,exported,예전 PNG(알아보기 어려운 낙서형) 대체. Material photo_camera 경로
BRAND-05,assets/branding/play_store_icon_512.png (BRAND-01 에서 생성),191b332dd7a82075ac2ac47b77ff590886204d4e157f74dbe6768043214cae28,store-icon,android,shared,Play Console 스토어 아이콘(512x512 RGB·모서리까지 꽉 찬 정사각. 둥근 모서리는 Play 가 적용),,Play Console 에 수동 업로드,exported,2026-09-24 생성. 앱 아이콘과 같은 원본
